Traffic Volume Count Location  Address,Street,Latitude,Longitude,Location,Vehicle Volume By Each Direction of Traffic
1715 West,83rd Street,41.74303,-87.666333,"(41.74303, -87.666333)",East Bound: 6100 / West Bound: 6000
1101 West,83rdStreet,41.743249,-87.651157,"(41.743249, -87.651157)",East Bound: 7800 / West Bound: 7300
10 East,83rd St,41.743649,-87.624723,"(41.743649, -87.624723)",East Bound: 9100 / West Bound: 9300
505 East,83rd Street,41.743855,-87.612049,"(41.743855, -87.612049)",East Bound: 8200 / West Bound: 9800
1240 East,83rd Street,41.744106,-87.593706,"(41.744106, -87.593706)",East Bound: 7800 / West Bound: 7800
1165 East,83rd Street,41.744086,-87.595315,"(41.744086, -87.595315)",East Bound: 5300 / West Bound: 3700
2848 East,83rd Street,41.744615,-87.554455,"(41.744615, -87.554455)",East Bound: 4200 / West Bound: 4100
3045 East,83rd St,41.744682,-87.549764,"(41.744682, -87.549764)",East Bound: 3800 / West Bound: 3500
1720 West,87th Street,41.735742,-87.666475,"(41.735742, -87.666475)",East Bound: 15200 / West Bound: 14300
1428 West,87th Street,41.735844,-87.659417,"(41.735844, -87.659417)",East Bound: 16000 / West Bound: 15600
817 East,87th Street,41.73606,-87.644455,"(41.73606, -87.644455)",East Bound: 10800 / West Bound: 10500
551 West,87th Street,41.73604,-87.638359,"(41.73604, -87.638359)",East Bound: 14900 / West Bound: 13700
282 West,87th Street,41.736013,-87.63131,"(41.736013, -87.63131)",East Bound: 7900 / West Bound: 7900
71 East,87th Street,41.736399,-87.621325,"(41.736399, -87.621325)",East Bound: 12500 / West Bound: 12100
920 East,87th Street,41.736694,-87.601489,"(41.736694, -87.601489)",East Bound: 9600 / West Bound: 9800
2040 East,87th Street,41.737079,-87.574126,"(41.737079, -87.574126)",East Bound: 6700 / West Bound: 7400
3100 East,87th Street,41.737414,-87.548768,"(41.737414, -87.548768)",East Bound: 4300 / West Bound: 4500
2108 West,95th Street,41.721037,-87.675323,"(41.721037, -87.675323)",East Bound: 13000 / West Bound: 12500
1850 West,95th Street,41.721119,-87.669564,"(41.721119, -87.669564)",East Bound: 15300 / West Bound: 16300
